,Country of Origin,Variety,Mean Altitude (m),Harvest Year,Processing Method,Moisture,Color,Coffee_Grade
79,Guatemala,Bourbon,1500.0,2020,Natural / Dry,10.0,Green,Premium
80,Guatemala,Bourbon,1500.0,2020,Natural / Dry,10.0,Green,Premium
81,Guatemala,Caturra,1600.0,2021,Washed / Wet,10.8,Green,Premium
82,Colombia,Caturra,1700.0,2019,Washed / Wet,11.5,Green,Premium
83,Other,Other,1400.0,2020,Washed / Wet,11.9,Blue-Green,Premium
84,Other,Caturra,1700.0,2020,Washed / Wet,12.3,Green,Grade 3 or Lower
85,Brazil,Other,900.0,2020,Natural / Dry,11.0,Blue-Green,Specialty
86,Brazil,Other,1100.0,2021,Natural / Dry,11.5,Blue-Green,Premium
87,Colombia,Caturra,1574.0,2020,Washed / Wet,10.5,Greenish,Specialty
88,Costa Rica,Caturra,1850.0,2021,Washed / Wet,9.9,Green,Premium
89,Costa Rica,Caturra,1850.0,2021,Washed / Wet,9.9,Green,Premium
90,Other,Other,1200.0,2020,Washed / Wet,12.0,Green,Grade 3 or Lower
91,Other,Bourbon,1350.0,2021,Washed / Wet,11.6,Green,Specialty
92,Guatemala,Caturra,1650.0,2021,Washed / Wet,9.9,Green,Premium
93,Other,Other,1200.0,2020,Washed / Wet,10.5,Green,Specialty
94,Brazil,Other,1100.0,2021,Pulped natural / honey,12.0,Green,Premium
95,Brazil,Other,1250.0,2021,Natural / Dry,11.5,Yellow-Green,Premium
96,Guatemala,Other,1550.0,2020,Washed / Wet,12.0,Green,Premium
97,Other,Caturra,1200.0,2021,Washed / Wet,10.5,Yellow-Green,Specialty
98,Brazil,Catuai,1150.0,2020,Natural / Dry,11.5,Green,Premium
99,Other,Bourbon,1350.0,2020,Washed / Wet,11.3,Green,Specialty
100,Other,Other,1000.0,2019,Natural / Dry,11.0,Green,Specialty
101,Brazil,Other,1020.0,2021,Natural / Dry,11.0,Green,Specialty
102,Brazil,Catuai,1100.0,2020,Natural / Dry,11.5,Green,Specialty
103,Other,SL28,1750.0,2020,Washed / Wet,11.0,Green,Premium
104,Other,Catuai,1250.0,2021,Washed / Wet,10.4,Green,Grade 3 or Lower
105,Other,SL28,1700.0,2019,Washed / Wet,12.0,Green,Premium
106,Other,Bourbon,1200.0,2019,Washed / Wet,11.0,Green,Specialty
107,Other,Bourbon,1800.0,2020,Washed / Wet,10.0,None,Grade 3 or Lower
108,Guatemala,Bourbon,1400.0,2020,Washed / Wet,11.5,Green,Specialty
109,Other,SL28,1800.0,2021,Washed / Wet,11.0,Green,Specialty
110,Guatemala,Bourbon,1600.0,2021,Washed / Wet,11.5,Green,Premium
111,Guatemala,Bourbon,1600.0,2020,Natural / Dry,10.0,Green,Premium
112,Brazil,Catuai,1000.0,2020,Pulped natural / honey,11.5,Green,Premium
113,Colombia,Caturra,1650.0,2021,Washed / Wet,11.5,Green,Specialty
114,Other,Bourbon,1300.0,2021,Washed / Wet,11.6,Green,Specialty
115,Brazil,Other,1100.0,2020,Natural / Dry,11.5,Blue-Green,Premium
116,Guatemala,Bourbon,982.5,2020,Washed / Wet,10.3,Green,Premium
117,Costa Rica,Caturra,1850.0,2021,Washed / Wet,9.9,Green,Premium
118,Costa Rica,Caturra,1850.0,2021,Washed / Wet,9.9,Green,Premium
119,Guatemala,Bourbon,1500.0,2020,Natural / Dry,10.0,Green,Premium
120,Colombia,Caturra,1700.0,2019,Washed / Wet,12.0,Green,Specialty
121,Other,Other,1040.0,2020,Washed / Wet,11.9,Blue-Green,Specialty
122,Guatemala,Caturra,1600.0,2021,Washed / Wet,10.5,Green,Grade 3 or Lower
123,Guatemala,Bourbon,1400.0,2020,Natural / Dry,10.0,Green,Premium
124,Guatemala,Bourbon,1800.0,2020,Natural / Dry,11.0,Green,Premium
125,Other,Caturra,1550.0,2020,Washed / Wet,11.5,Green,Specialty
126,Costa Rica,Caturra,1850.0,2021,Washed / Wet,10.0,Green,Premium
127,Other,Other,1420.0,2021,Pulped natural / honey,10.0,Green,Specialty
128,Costa Rica,Caturra,1850.0,2020,Washed / Wet,10.0,Green,Specialty
129,Guatemala,Bourbon,1500.0,2020,Natural / Dry,10.0,Green,Premium
130,Other,Caturra,1450.0,2020,Washed / Wet,11.0,Green,Specialty
131,Guatemala,Caturra,1600.0,2021,Washed / Wet,10.8,Green,Premium
132,Colombia,Caturra,1700.0,2019,Washed / Wet,11.5,Green,Premium
133,Other,Other,1400.0,2020,Washed / Wet,11.9,Blue-Green,Premium
134,Other,Caturra,1700.0,2020,Washed / Wet,12.3,Green,Grade 3 or Lower
135,Brazil,Other,900.0,2020,Natural / Dry,11.0,Blue-Green,Specialty
